"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"내일의 기억","fftp****","2021.04.27. 06:38","6","광명롯시] 양산형 스릴러 영화 느낌이었고 아쉬움도 컸다. 반전을 의식한 거겠지만 일부러 이야기를 뒤죽 박죽 섞어서 관객도 헷갈릴거 같고 반전이 와도 피식 거리게 된다. 유명배우들이 출연하지만 전체적으로 뭔가 썰렁하고 저 예산 스러운 느낌도 들었다.","5","1"
"내일의 기억","bums****","2021.04.23. 13:47","1","ㅡㅡ 이게 영화냐 ㅠ 소름돋아","5","1"
"내일의 기억","powe****","2021.04.22. 21:57","6","옥의티 옥의티 옥의티","5","1"
"내일의 기억","aldu****","2021.05.04. 02:55","4","배우때문에  몰입하기 힘들었어요. ㅠ","6","2"
"내일의 기억","mist****","2021.05.02. 13:07","1","평점 알바에 속지마삼나만 당할게요","6","2"
"내일의 기억","giok****","2021.04.28. 22:08","2","영화에 몰입감이 없다. 관객이 이야기속에 빠져들기는 커녕 왜 이걸 보고 있는지 의문만 든다.개연성도 떨어지고 스토리도 너무 평면적이다. 영화를 많이 본 사람이라면 20분만 봐도 대충 스토리가 그려질 것이다.","6","2"
"내일의 기억","ocel****","2021.04.28. 16:31","1","가스라이팅을 당한사람이 문제 ..음... ^^","6","2"
"내일의 기억","jiwo****","2021.04.27. 19:48","3","배우들 연기는 괜찮았으나 초중반부터 뻔히 예상되는 반전과 허무한 엔딩","6","2"
"내일의 기억","pomp****","2021.04.27. 17:19","4","여성 캐릭터를 향한 감독의 낡고 낡은 시각.반전의 반전이라는 구매리뷰에 관람했으나너무나 진부한 소재에 가슴이 답답.","6","2"
"내일의 기억","sids****","2021.04.27. 07:04","1","정보 없음","6","2"
"내일의 기억","66re****","2021.04.26. 20:50","1","평점을 1/2 하고 보시길","6","2"
"내일의 기억","snoo****","2021.04.26. 12:09","1","CGV에서 18,000장 공짜표 뿌려대서 봤더만....시간만 아까움!!!  내돈 주고 봤으면 정말이지 돈아까웠을꺼 같네여....평점에 속지 마시길...공짜표를 몇만장 푸는덴 다~이유가 있어요!!","6","2"
"내일의 기억","inha****","2021.04.26. 03:31","1","정보 없음","6","2"
"내일의 기억","yhu1****","2021.04.25. 21:58","1","님들 진짜 재밌게봄? 알바아님? 잃어버린시간 이후로 제일 노답인데 마지막 억지 감동씬까지 완벽","6","2"
"내일의 기억","acch****","2021.04.25. 21:31","2","진심 이게 재밌다고?? 알바한테 속았다","6","2"
"내일의 기억","jsm9****","2021.04.25. 15:04","1","또 속읐어... 이게 재밌냐... 뻔하고 유치함","6","2"
"내일의 기억","wonb****","2021.04.25. 14:02","2","극장에서 잤다... 평점에 낚임 ㅅㅂ","6","2"
"내일의 기억","tjdt****","2021.04.25. 13:58","1","돈버릴사람 보면될듯 --","6","2"
