"작성자","평점","좋아요","댓글수","리뷰"
"세이라","4.0","0","0","약혼한 사람을 두고 첫사랑에게 돌아가는 엘리가 미웠다.
하지만 마지막 엔딩 장면에서 그 미움은 와르르..
눈물이 흐르고 말았다"
"김민","4.0","0","0","다시 본 노트북은 다른 생각이 나게했다."
"최민수","4.0","0","0","너무나 재밌게 본기억.
마지막 할아버지가 원래약혼자이길 바랬던건 너무 큰 욕심이었을까"
"Isoh","4.0","0","0","현실적이면서도 비현실적인... 노후에 저런모습이고 싶다고 생각하게 되는 아름다운 영화"
"김서아","4.0","0","0","""다시 만나."""
"영화씨","3.5","0","0","무엇보다 뜨거웠던 수 십년 동안의 summer love"
"곡성","2.5","0","0","로맨스영화에 사랑스런 답습"
"Hdkim","4.0","0","0","이 정도는 되어야 사랑이라 말 할 수 있지 않을까.."
"김소망","3.0","0","0","어른들을 위한 동화"
"몽몽","3.5","0","0","첫사랑을 끝까지 잊지못하고 사랑한 남녀"
"박솔미","4.5","0","0","마사랑 론을 제외하면 내 인생영화였을거야"
"침침","3.5","0","0","The Notebook
금지된 사랑을 딛고, 또 다른 힘겨운 사랑을 
끊임 없이 해낸 노아에게.
-
사실상 2004년 영화..이기에 플롯의 세련됨과
재개봉 영화, 클래식에 대한 기대가 남달랐던 탓일까.
17살의 과감한 애정, 7년간의 기다림.
그 사이 부모와의 갈등들. 신분차이.
심지어 전쟁이란 소재와 간호조무사라는 역할의 짜깁기.
심히 불편할 구석이 많았지만,
오로지 앨린을 위한 노아의 한결같이 커다란 사랑을
나무랄 수 없었다.
옆자리에서 눈물을 훔치는 남자(25)까지 덤으로."
"두랄루민","3.5","0","0","우리의 사랑만 있으면 무엇이든 할수 있어! 는 너무 거짓말이다. 배타고 비 맞은 전후 장면은 좋았다. 이뤄지지 않는결말이었다면 좀 더 좋았을 것같은데."
"이창훈","4.0","0","0","영화 같은 사랑"
"박용채","4.5","0","0","가능할까. 이런 사랑이란 게."
"복숭아","3.0","0","0","노아의 사랑과 열정이 아름다움을 만들었지, 앨리는 무책임할 뿐이다. 타이타닉과 노트북의 약혼자는 도대체 무슨 죄냐? ㅜㅜ 어쨌든 레이첼 맥아담스는 진리."
"Spleen","3.0","0","0","첫사랑은 첫사랑으로 남았을 때 아름다운법"
"그저그냥저냥","4.0","0","0","남자의 사랑은 미련하다"
"silverbread","4.5","0","0","최고의 사랑은 영혼을 일깨우고 더 많이 소망하게 하고
가슴엔 열정을 마음엔 평화를 주지
난 너에게서 그걸 얻었고
너에게 영원히 주고싶어."
"김우아","3.0","0","0","노트북이 컴퓨터가 아니라 공책이었다는 사실이
가장 충격적인 영화."
"N번째아해","2.5","0","0","안전불감증 같은 놈 차 좀 잘 보고 다녀라"
"오타쿠","4.5","0","0","뻔하지만 뻔하지 않은 기적같은 사랑"
"권지혜","4.0","0","0","가장 비현실적인 이야기가 사랑아닐까..?
그 어떤 걸로도 설명할 수 없는 감정과 느낌"
"령령","4.0","0","0","탄탄한 이야기도, 놀랄만한 반전도, 도덕적 만족도 없었으나
사람의 감성을 건드리는 영화.
아, 로맨틱함이란 비현실적이구나."
"민봉","3.5","0","0","과학이 포기한 곳에 신의 손이 내린다."
"장규희","4.5","0","0","과거에 봤던 노트북과 현재에 봤던 노트북이 이리도 다를수가.
안보이던게 보이니 영화를 더욱 즐길 수 있어서 좋았다
심장이 몰랑몰랑해져"
"daisy","3.0","0","0","스토리가 눈에 읽히지만..
망설이는 앨리에게 용기와 확신을 주고 결국 지켜낸 노아가 좋아"
"김태양","3.5","0","0","비상하는 백조를 함께 바라볼 수 있다는 것."
"비버","4.5","0","0","잔잔히 흘러가는 지고지순한 순애보."
"SoyeonLee","3.0","0","0","어찌보면 뻔한 스토리인데 울컥하는 이유는 왤까?"
"곽동석","3.0","0","0","꽤나 아름다운 진부함."
"김펭수","3.5","0","0","노트북 컴퓨터에 대한 사랑이야기"
"윤혜린","4.0","0","0","감동적!"
"쩐미","4.5","0","0","니가 새면, 나도 새야"
"봄봄","3.5","0","0","노아의 청춘은 너무 이기적이다"
"박영례","2.5","0","0","로맨스영화에 사랑스런 답습"
"남지행","3.0","0","0","젊은때의 사랑보다
노년때의 사랑때문에 뭉클"
"진지빨고 영화집중","4.0","0","0","매일 일기장처럼 써내려간 편지. 전쟁터에서 그를 버티게 만들었던 그녀는 이미 다른 사람에게 있었지만, 그의 안에 있는 그녀는 지나버린 시간이 거슬러 그대로 그의 안에 있었다."
"토끼굴","2.5","0","0","사랑스러움 하나로 모든 걸 때우려는."
"혁혁이","3.0","0","0","마음이 따르는 것을 선택한 사랑이 맞이하게 될 결말"
"A LiFE","3.5","0","0","I always care, my love"
"한정인","2.5","0","0","왜이런 호평을받는지 모르겟네
보는내내 앨리 때문에 눈살찌푸렷다"
"박세웅","3.0","0","0","비록 결말은 비현실적이었지만, 적어도 거기까지의 여정은 지상에 발을 딛고 있는 민낯의 로맨스였다. 다만 부분부분 엿보이는 '섬세하지 못함'이 아쉬움으로 남는다."
"권한준","5.0","0","0","""우리의 사랑이 기적을 만들 수 있을까요?""
한 여름밤의 불장난이라 생각했던 사랑이 평생을 함께가는 사랑이 된다
진정한 사랑의 의미를 알려주고 사랑이란 단어를 제대로 표현한 영화다"
"신혜정","3.0","0","0","놀이동산에서 위험하게 매달린 그 얼굴부터 꼴보기 싫어졌던 노아. 할아버지가 된 그의 얼굴에서야 계속 보고 싶었다. 누구하나 미워하기엔 애정어린 캐릭터들. 한 가지 마음에 들었던 것은 둘이 애절하지만 않고 전투하듯이 싸웠다는 것."
"모유진","2.5","0","0","나이 든 노아와 앨리 장면만 좋았다. 대다수의 사람들에게 맞는 영화가 나에겐 감흥이 없을 때에 당혹스러움은 참 크다."
"신성현","3.0","0","0","희망보다 대리만족에 가까운."
"김윤아","4.0","0","0","진짜 객관적으로 생각하면 여자 너무 나쁜여자임...저렇게 나쁜 여자한테 벤츠 둘이나 왔다는 것도 신기함....근데 진짜 노년이 너무 아름다워서 나도 저렇게 사랑해보고 싶다라고 생각하게 만듬ㅠㅠㅠㅠ"
"안성은","4.5","0","0","내가 하고 있는 것은 사랑이라고 말할 수 있는가. 레이첼의 예쁜 웃음과 라이언의 눈빛이 다 한 영화. 베개 위에 놓여진 꽃 두 송이를 발견하고는 입을 틀어막았다."
"HeeEunPark","3.5","0","0","때로는 해피앤드의 동화같은 스토리가 필요하다"
"박진선","5.0","0","0","이제 이런 류의 사랑은 촌스럽거나 미련하거나 부도덕하거나로 종종 평가받게 되겠지"
"이도일","4.5","0","0","예쁜 사랑 이야기
약혼자 때문에 마음이 아픈건 함정
타이타닉도 마찬가지...
오늘 밤엔 타이타닉 봐야지"
"김응천","4.0","0","0","왜편지안했어
365번이나썻다구!!"
"선진","5.0","0","0","노트북"
"윤기범","5.0","0","2","2ㅅㅣ간동안 건너뛰기 한적이 단 한번도 없음"
"이나림","5.0","0","0","내 모든 감성적 꿈은 이 영화로부터 시작했다"
"권오승","4.5","0","0","로맨틱한 사랑의 완벽한 해피엔딩"
"이성섭","5.0","0","0","마지막 부분은 내가 꿈꾸던 사랑이야기였다....
사랑하는 사람과 함께할수있다면..."
"김민수","4.0","0","1","초반 : 이 영화 왜케 유치하냐
후반 : 사랑이 원래 유치한거다 멍청이들아ㅠㅠㅠ크ㅡ헝ㅎ헝ㅠㅠㅠㅠ흐규ㅠㅠㅠㅠㅠ"
"혜윤","3.5","0","0","사랑 하나로 살 수 있다면"
"주소영","5.0","0","0","슬프지만 행복해서 좋다"
"이준혁","4.0","0","0","연기로써도 연출로써도
사랑 그 자체."
"소방관 관람객","4.5","0","0","로맨스물에 가장 적합한 여배우."
"Happiness","4.0","0","0","진정한 사랑은 가슴에 남는다"
"김태훈","2.0","0","0","'클래식'의 손예진은 조승우와 이루어질 수 없었기에 더욱 가슴 아프고 아름다운 사랑이 될 수 있었지만. 노트북은 서로 원하는 것을 가졌기에 결코 아름답지만은 않았다.
결국 우리는 영화가 아닌 현실에 살고 있으니까."
"No reservation","3.5","0","0","재개봉 관람 . 노스포
'최악의하루' 를 비롯한 현대의 수많은 로맨스물이  최소 fhd급화질구현이 가능한 고성능 카몌라에 리터칭작업으로  화사한톤의 인위적인화질을 보다가 (디지털 리마스터링 작업을 거친 것으로 보이지만) 둔탁하고 꾸밈없는 화면에 담아내는 주인공들의 열연을보니 이 재개봉작이 (이터널 션사인의 선례가있듯)박스오피스 순위권을 차지하는 이유를 금방 알겠더라.  분명하건데 ,  멜로장르처럼 관객의 공감대 형성이 중요한 장르가 없기에 앞으로 나올 멜로영화들이 화사한 색감과 밝은톤으로 치장된 외형에만 치중한다면 지속적으로 관객들로부터 소외되지 않을까싶다. 단점을 말하자면 클리셰들이 난무하고 긴이야기를 나무가지치듯이 과도한 편집으로인해 캐릭터의 감정이 단편적으로 나열되는듯 하다. 그러나 제작팀의 빼어난 솜씨나 조연들의 호연으로 별 2개이상은 반드시 받아야한다고 생각하면서 ,  맥블리연기에 완전 빠져서 3점5점 ~"
"김유진","보고싶어요","0","0","세상 제일 사랑하는 영화"
"uk","4.0","0","0","사랑의 힘을 믿나요."
"김한슬","3.5","0","0","풋사랑은 별똥별,
밤하늘을 밝게 수놓는 찰나의 영원같은 것."
"Scorlater","3.0","0","0","절제와 통찰이 없는 사랑의 판타지. 그래도 싫지만은 않더라."
"슬다","5.0","0","0","보면 볼수록 깊게 닿을 수 없는 감정까지 살아나는.
ㅡ당신이 내게 읽어준건 기억이었군요"
"과규닝","4.0","0","0","이런 결말일줄 몰랐어.......
ㅠㅠㅠㅠㅠ 실화라니.. 아름답다
나는 과연 이런 사랑을 하게될까
나도 어쩌면 지금 어떤 선택의 기로에 와있을수도 있는데.
그저 영화의 주인공들이 부러울 따름
앨리는 노아를 선택하고 싶었던걸까? 선택하게 되었던걸까."
"Sasasa","5.0","0","0","별 다섯개가 이토록 모자랐던 영화는 처음인 것 같아"
"YUUU","5.0","0","0","""She is my home"""
"인랑","3.5","0","0","진부한첫사랑이야기그럼에도되살아냐는뜨거운열정!"
"황인찬","4.0","0","0","그토록 미친듯이 사랑할수있을까
그리고 죽음까지 함께하는 사랑의 모습이 아름다웟다
나의집은 내와이프 곁이라는 말과함께 평생을 곁에서 지켜주는 그모습..."
"박세희","4.5","0","0","- 상상 그 이상으로 사랑스러운 레이첼
- 시들지 않는 둘 사이 온기, my sweet heart
- 첫사랑(기준이 무엇인지..?) 또는 미련 남은 사랑
영문도 모르게 시작되었다가
끝날 줄 모르고 불쑥불쑥 존재감을 드러내는 것
미친듯이 퍼붓다가도 눈빛으로 진심을 내어주고 읽는 순간
다시 불꽃처럼 타오르고 모든 감정소비를 상쇄시키는 뜨거움

- 쉬운 길은 없어. 누군가는 상처받을 수 밖에 없어.
어떤 선택이든 누군가에게 상처가 될 수 밖에 없는 이상,
나를 제외한 모든 요인들을 과감히 배제시키고
내 마음만을 들여다보고 내리는 결정이 되었어야 했는데
- 엄격하고 모질던 레이첼의 엄마는,  왜 그 중요한 순간에
후회만이 가득한 닭똥같은 눈물을 뚝뚝 흘리고 말았을까
그 모습을 보는 이의 마음 속에 이미 자리잡은 결정
굳이 입 밖에 꺼내지 않아도 충분히 알아 듣는 눈물의 의미
- ""이게 너의 문제야, 하고싶은 것을 하지 않는 것""
""잘자, 다음에 또 만나""
- 영화라서 가능한 동화같은 이야기와 전경
그래도 그 모든게 흐뭇하고 예쁘게 보였던 :)

- 나의 정체성. 취향. 좋아하는 것들에 대해
나만큼, 어떠한 관점에서는 나보다 더 깊이 고민하고 알아주고,
가끔 내 스스로 망각할 때 쯤엔
다시 옳은 길로 방향을 되찾아갈 수 있게끔
옆에서 넌지시 암시를 주는 사람에 대한 끝없는 갈망"
"장희정","3.5","0","0","기대가 너무 컸던 탓인지 생각보다는..? 둘의 사랑스러운 순간들은 빛나지만 그 후 약혼자 사이에서의 갈등은 누군가에겐 너무나 큰 상처가 될 것만 같아"
"최시현","5.0","0","0","달콤한 사랑스러움과 그 사랑스러움을 지켜나가려는 사랑스러움"
"김갓빼","3.0","0","0","조금 유치하지만 레이첼 맥아담즈의 아름다운 연기는 빛난다"
"손승주","5.0","0","0","보고싶었던 노트북...
보는내내 감동
래이첼 맥아담스
사랑스러워"
"도고","2.0","0","0","1 - 2 = -1"
"Hypothermia__","5.0","0","0","""I wrote you everyday. I wrote you three hundred and sixty five letters"""
"김규준","5.0","0","0","인생 영화."
"라이카","1.5","0","0","와아앜!!로맨스!!!  하고 부르짖는 강력한 로맨스력인데 문제는 내가 이런 유형? 그러니까 온몸으로 로맨스를 부르짖는 컨텐츠에 공감능력이 개떨어지는 사람인지라 아무것도 못주워먹는게 슬픔 ㅠ.ㅠ"
"윤.","2.5","0","0","딱히 공감할 수 없는 로맨스다. 레이첼을 노아와의 사랑으로 미화하려는 느낌? 노년의 이야기는 감동적일 수 있으나 전체적으로는 그닥."
"이슬기","4.0","0","0","꿈같은 사랑"
"bee_leeh","5.0","0","0","언제나 사랑스럽고 웃음지어지는 레이첼"
"이종현","4.0","0","0","운명은 어떻게 해도 피할 수 없고,
애절한 사랑은 고통을 모두 삼킬 수 있다."
"해미해미","5.0","0","0","상상해봐.30년후,40년후..넌누구와함께일지"
"이유성","3.5","0","0","로맨스가 아니라
판타지(+로맨스) 영화"
"주서정","5.0","0","0","오늘따라 애틋하게 생각나는 영화
 내가 사랑하는 분위기"
"gamchilmatt","4.0","0","0","사랑은 정말 이기적이다.
누군가 행복하면 반드시 누군가는 아프다.
사랑을 알면 알 수록 이 영화가 정말 잔인한 영화라는 것을 알게 된다.
여자를 위해 한평생을 받친 남자.
돈 때문에 떠나간 여자.
그리고 사랑 때문에 버려진 남자.
이게 어딜봐서 아름다운 사랑이야기 인가.
이기적인 사랑이야기지."
"MyeongSeonChoi","3.0","0","0","진부해"
"명대사bot","3.5","0","0","""너가 새라면, 나도 새야."""
"김준호","5.0","0","0","즐겁게 보다가 막판에 갑자기 눈물이 펑펑 나네
훅 들어오는 이 느낌이 뭔지 모르겠다"
"박주현","5.0","0","0","앨리와 노아의 사랑이 너무 아름다웠다 💕 열정적으로 사랑하는 모습이 너무 좋고 한편으로는 부럽다
""너희 엄마는 내 집이야"""
"양기자 (YCU)","3.5","0","0","사랑하는 연인과 맞이하고 싶은 가장 아름답고 숭고한 결말에 대하여. 레이첼 맥아담스와 라이언 고슬링의 리즈시절을 다시 스크린으로 만나다. ""클라이막스를 향해가는 젊은 캐릭터들의 선택에 당신은 공감할 수 있습니까?""를 물으며."
"이새롬","4.0","0","0","영원을 믿지는 않지만. 이런 사랑, 있으려나"
"송수연","3.5","0","0","정통멜로, 로맨틱영화의 대명사"
"석재현","3.0","0","0","한 쌍의 정다운 기러기"
"박세혁","4.5","0","0","뻔하지만 예상할 수 없는, 클리셰하지만 진부하지 않은 사랑 같은 영화."
"백민재","3.5","0","0","""진실한 사랑을 했으니 씁쓸할 건 없어"""
"이성연","2.0","0","0","보긴봤는데 하나도 내용이 기억안나는걸 보면 드럽게 재미가 없었나봄"
"김광원","2.5","0","0","노아의 거친 모습이 나에겐 너무 불편했고 뻔한 전개와 뻔한 결말이어서 그냥 그랬다 너무 기대하고 봐서 그런가"
"pjh","5.0","0","0","사랑에 한계가 없음을
사랑의 위대함을
사랑의 아름다움을
사랑의 끝을 보여준 영화"
"허우인","5.0","0","0","레이첼 맥아담스 세계 최고 이쁜데 여기서 우주 최고 이쁘다 ...... 몇번을 봐도....."
"임수민","4.5","0","0","한 여자에게 한 남자로써의 인생을 산다면 노아처럼 살아봐야하지 않겠나...?"
"billy","4.0","0","0","언제봐도 걸작. 멜러 드라마의 좋은 본보기!"
"정준형","5.0","0","0","어릴 때 보고는 얼마만에 보는지..
그 때의 감동은 여전하다.
많은 생각이 든다."
"jimmy_y","1.5","0","0","너무 청춘물스럽긴 했지만 초중반까진 아름다운 멜로 영화의 정석이었다. 앨리가 약혼을 하기 전까진.....
너무 뻔하더라도 약혼자에게 치명적인 단점이 있거나 앨리가 그를 진심으로 사랑하는 것이 아니길 바랬는데 결국 둘 다 사랑하는 거였다니... 차라리 대놓고 불륜이면 좋으련만 주인공들은 본인들의 사랑을 기적이라고 표현하고 있으니 참 할 말이 없다."
"dachshoon_t","4.0","0","0","사랑 이야기 사전."
"즁 필름","3.5","0","0","당신은 선택해야만 한다. 당신이 아니게 되어도 옆을 지켜줄 배우자를."
"자야","5.0","0","0","사랑하는 사람과 한날한시 같이 죽는다는 것.. 모든 사랑꾼들의 꿈이다."
"바사라","5.0","0","0","너희 엄마가 내 집이다."
"mingna","3.5","0","0","한국에는 흔하지만 외국에선 정말 흔치않았던 멜로물"
"Alayna","5.0","0","0","노아라면! 나도 기꺼이 당신의 동그라미가 되어줄게요!"
"하킴","3.0","0","0","영화가 너무 무거운 느낌 색감도 배우들의 연기도
담백했다면 좋았을 걸"
"Justin Kim","3.0","0","0","Somewhat overblown romance, but a cute story."
"ParkSohee","4.0","0","0","이런남자가 존재할까....???"
"영화더쿠","5.0","0","0","니가 새면 , 나도 새야"
"김현웅","4.0","0","0","촌스럽고 낡았어. 그런데 사랑스러워"
"E2YOREE","3.0","0","0","사랑한다면 이들처럼"
"이동효","3.5","0","0","너무나 사랑스러운 레이첼 맥아담스"
"강성욱","4.5","0","0","크리스마스 이브 새벽
군대에서 남정네들끼리 보고서
감동을 감추지 못했던 작품.
영화보다 더 영화같은 실화."
"감성 꼬부기","5.0","0","0","힝... 너무 슬퍼...
저런 사랑하다 죽으면 여한이 없겠네..."
"잔물결","5.0","0","0","현실성 없는 멜로 싫어하는데
너무너무 예쁨 연출이며 캐릭터며 다 이쁘다
레이첼맥아담스도 너무 이쁘다
결말도 맘에 든다"
"스타세일러","5.0","0","0","내 인생 최고의 로맨스 영화"
"지누","4.0","0","0","그저 사랑이 전부였던 너와 나의 순간들을 회상하며"
"이상현","2.5","0","0","왓챠가 ""내 인생의 영화""될수 있다고 해서 봤는데...막장드라마에 너무 익숙해선지.. 너무 밋밋하고...뻔한 영화였다. 내가 여주였다면 다른 선택을 했을거다..(TV, 16/09/18)"
"이동주","4.5","0","0","보고 엄청나게울었던영화 top3"
"김종순","4.5","0","0","영화다운 사랑이야기"
"최성아","4.5","0","0","믿고보는 레이첼 맥아담스 절절한 사랑이야기는 언제나 감동적이다."
"김재학","4.0","0","0","라일리같은 사람이 되렴"
"mxnsxxng","4.0","0","0","난 비록 죽으면 쉽게 잊혀질 평범한 사람일지라도 영혼을 바쳐 평생 한 여자를 사랑했으니 내 인생은 성공한 인생입니다."
"bonbonkim","4.0","0","0","뻔한 내용이지만 계속 기억에 남는다."
"하면된다","3.5","0","0","요만때쯤 생각나는 영화."
"김수빈","4.0","0","0","첫사랑의 진득한 향기를 맡을 수 있었던 좋은 영화. 레이첼의 정말 사랑스러운 연기와 라이놀의 순수한 한 남자를 그려내는게 정말 즐거웠다. 실제로 영화로인해 사랑에 빠진만큼 보는 이로 하여금 진짜 사랑이라는 것에 착각하게 만들정도로 놀라웠다. 케미가 계속해서 보여주길 기대하며...
# 2004.11.26"
"신섭재","3.5","0","0","처음봤을때는 두사람의 사랑에 가슴이 저며왔는데 두번째 보니 파혼당한 남자가 눈에 밟혀 가슴이 아프다."
"bloomin","3.5","0","1","아마 어떤 쪽이든 앨리는 행복했을테지만
노아의 한결같음이 없었다면...
일생 내내 서로를 사랑하는 것..
진짜 가능한걸까?"
"임수빈","4.5","0","0","감동적이고 또 감동적인 영화"
"김보인","5.0","0","0","둘의 사랑만은 정말 아름답고 찬란하다.  평생을 바칠수있는 사람. 많은 시간이 흐르고 늙어도 저렇게 사랑받을수 있고 사랑할수있다는 것은 어쩌면 큰 용기가  필요한것 같다.  둘의 반복되는 이별과 만남에 가슴아팠지만 몇번 이영화를 보다보면 그 주변사람들의 아픔도 공감이 간다. 설사 이기적이였다 하더라도"
"장승희","4.0","0","0","-유머있는 남자가 좋아? 우수에 젖은 남자? 똑똑한 남자? 미신적인 남자? 용감한 남자? 아니면 춤 잘 추는 남자? 뭐든 말만해. 말만 하면 다 돼줄게.
-결혼해줄래? 날 최고로 행복한 남자로 만들어 줄래?
-나도 당신이 원하는걸 주고싶어. 알지? 하지만 줄 수가 없어. 남은게 없거든..
-너희 엄마가 내집이야."
"윤성현","2.0","0","0","개막장  용서가 안된다.."
"신선우","3.0","0","0","뻔해 보이지만 그래도"
"가나아","3.0","0","0","어릴때 처음봤을땐 소녀감성에 정말 좋았었지만 어른이 되어 다시보니..."
"kof3797","4.0","0","0","바람핀거 빼고 다 좋았음 내가 만약 죽는다면 주인공들 처럼 사랑하는 사람 이랑 잠들다 죽었음 좋겠음"
"윤성준","5.0","0","0","레이첼 맥아담스는 이런영화의 대가인듯"
"김요한","2.5","0","0","세월이 무의미한 레이첼 맥아담스의 외모와 연기"
"김목연","4.5","0","0","젊은날의 격정적인 사랑과 노년의 비참함을 동시에 느끼게 해주는...마음이 무거워지는 영화네요."
"배선아","5.0","0","0","네가 생각나는"
"K.K","4.0","0","0","전형적인 로맨스가 감성을 자극할 수 있는 걸 처음 알았다"
"최승원","3.0","0","0","잊을 수 없는것, 잊고 싶지 않은것, 잊을수밖에 없는것."
"정민우","4.5","0","0","마음아프다"
"김태용","5.0","0","0","보다가 두번째로 많이 운 영화"
"김민수","3.5","0","0","그 뜨거운 진심은 느껴져서 함부로 평가할 수 없다만..."
"Chelle","5.0","0","0","라이언 고슬링과 레이첼 맥아덤스의 케미가 돋보였던. 둘은 너무 애틋하게 사랑스럽다."
"Yongdae Ian Bae","4.0","0","0","영원한 사랑을 바란 한 남자의 일기"
"조니","5.0","0","0","보고 움
뭉클하고 쩌는 영화였다"
"MoonsuJung","3.0","0","0","눈물짭니다."
"다운","3.5","0","0","아는 사람이 가장 좋아하는 영화라고 해서 봤던 영화. 실화라는데 사실 그렇게 감흥은 없었다ㅠㅠ 레이첼 맥아담스는 정말 예뻤음."
"이윤희","3.0","0","0","역시 사랑과 사람은 마음가는대로!"
"zzx","5.0","0","0","사랑은 노트북처럼. 사랑의 포인트는 무엇이 되던간에 알게된다보다 느끼게 된다가 맞는듯."
"김진선","5.0","0","0","볼 때 마다 사랑스러운 여주.
사랑받는다는게 어떤건지 제대로 보여주는 영화!"
"우희훈","5.0","0","1","내가 조아 하는 영하"
"구삼0112","4.5","0","0","앨리가 기억이 잠시나마 돌아왔을때.."
"이주훈","4.0","0","0","아무것도 계산하지 않고 사랑할 수 있다는 사실이 아름다웠다."
"cinmax","4.5","0","0","첫눈에 반해버린 사랑을 잊지못하고 한 사람만을 위해 평생을 바치는 남자가 아름다운 이야기.
흔들리는 사랑이 아닌 견고하고 단단한 남자의 마음이 큰 감동을 준다"
"구미","4.5","0","0","이 영화를 고등학생 때 처음 보았는데 그때는 영화가 잘 이해가 되지 않았다. 불같이 싸우는 모습들도, 레이첼 맥아담스가 두 남자 사이에서 갈등하는 모습도 도무지 이해할 수 없었는데 지금 와서 보니 정말 영화를 잘 만들었다는 생각이 든다. 로맨스 영화 하면 노트북 하는 이유를 알 것 같다."
"권혁규","5.0","0","0","beautiful"
"전요한","4.5","0","0","잃을수 있다면 얻게되는것
얻는다면 잃어야하는것"
"madcow","4.0","0","0","이런 사랑 가능합니까"
"이영진","4.0","0","0","난 비록 죽으면 쉽게 잊혀질 평범한 사람일지라도 영혼을 바쳐 평생 한 여자를 사랑했으니 내 인생은 성공한 인생입니다"
"권혁주","3.5","0","0","극적인 만남 극적인 재결합 극적인 엔딩
너무 극적이였다."
"Taehun Ha","3.5","0","0","영화시작 30초만에 저 시절에 노트북 있었나?"
"문병희","4.0","0","0","이런 미친 사랑을 하고 싶다"
"데진","5.0","0","0","pros
1. 로맨틱코미디 싫어하는데 이건 좋음
2. 라이언고슬링..왜 인기 많은지 알겠다
cons
1. 없음"
"곽혜진","3.5","0","0","억지감동주려는 느낌 많이 받았지만 이미 내 눈에서는 눈물이 9ㅅ9"
"김준","5.0","0","0","최고"
"Jay","4.0","0","0","로맨스를 보고 펑펑 울고싶다면"
"김다울","4.0","0","0","정말 영화같은 사랑."
"WooramKim","5.0","0","0","사랑에 대한 영화들 중 빠질 수 없는 최고의 로맨스영화. 사랑스러운 맥아담즈, 그 여자를 기다리는 순정남의 모습. 멋지다"
"콩깍지은비","3.5","0","0","끈질긴 사랑 이야기. 
가볍게 보기에 좋다."
"조윤경","3.0","0","0","나에겐 지극히 평면적인 영화"
"deeniebomb","4.5","0","0","이런 사랑"
"이강욱","4.5","0","0","심장마사지
오렌지즙을짜듯 내심장을쥐어짜는구나"
"영2","5.0","0","0","평생 잊을 수 없는 로맨스 영화
라이언 고슬링은 이 때가 참 멋있었지"
"반세환","3.5","0","0","개인적으로 론이 가장 멋져보였고 노아랑 엘리는 노답들끼리 잘 만난듯. 그래도 레이첼 맥아담스는 예쁘다"
"Seungeun Shin","5.0","0","0","나도 이렇게 사랑하고 싶다
매일 싸우겠지,
그래도 너라서 좋다고 말하고 싶어졌다"
"frog","4.5","0","0","한 날 한시에 하나가 되어"
"이우성","4.0","0","0","준이가제일좋아함"
"userkim","4.5","0","0","이해되진 않지만 이런 사랑을 할 수 있다는 게 부럽다."
"이승준","5.0","0","0","열두번 보았을 때 비로소 진짜 눈물 흘리게 만드는 사랑들."
"하잉","4.0","0","0","생애 이런 사랑을 할 수 있다면 그건 정말 성공한 인생인 것 같다."
"무비커피","4.5","0","0","이런 장르를 크게 좋아하지 않지만 정말 인상깊은 영화중 하나"
"Sofine","5.0","0","0","소소하게 웃으며
주인공들의 상황에 함께 속상하다가
마지막에 팡 터지는 감동"
"유승민","4.5","0","0","식상할 수 있는 소재를 완전히 빠져들게 해준 배우들에게 감사를"
"김보성","4.5","0","0","하.."
"현듀 이제 없는 사람..","3.0","0","0","이거보고 있을때 갠 왜 우리집에 왔을까"
"잭영","4.0","0","0","한 사람을 영원히 사랑할 수 있을까요
그것만으로 할아버지의 존재는 의미있어요"
"뿜뿜","4.0","0","0","불같은 사랑을 하는 것도 멋지지만 그보다 그 불이 식지 않도록 하는 것이 더 아름답게 느껴졌다."
"손태인","5.0","0","0","내인생 로맨스 영화
이렇게 온 마음을 다해 사랑하며 살고싶다"
"손인호","4.0","0","0","편지, 편지가 나름반전이기도 하지만 여주가 너무 이기적으로 나오는것같다, 감정이입보단 그냥 볼만한영화"
"갱무니","4.0","0","0","이렇게 나이 먹을 수 있다면..."
"양양","4.5","0","0","사랑하는 사람과 한날 한시에 죽을 수 있는 행복"
"이현우","2.5","0","2","난 정말 멜로는...ㅠㅠ"
"정다운","3.5","0","0","노년시절의 사랑이 아름다웠을뿐..."
"yeon","5.0","0","0","영원히 꿈꾸는,"
"백창현","3.0","0","0","'여자'주인공의 병으로 풀어가는 사랑 이야기. 클리셰."
"박희태","5.0","0","0","노아를 남겨두고 떠나면서도
365장의 편지가 앨리의 손에
들려있는 걸 보고 격한 감동을 받았다."
"dyne","4.5","0","0","내 첫사랑이랑 보자고 약속했던 영화. 결국 같이 보진 못하고 오늘이 되어서 나 혼자 봤지만 네가 생각나는 밤이야."
"영영","4.0","0","0","약혼했다는 점이 심히 마음에 걸려 완전히 감동하지 못한다는게 너무 아쉽다ㅠㅠ
약혼만 쏙 빼면 정말 아름다운 얘기인데
어쨌든 외도는 외도니까..
그래도 엔딩때 눈물은 참을 수 없었음..ㅠㅠ"
"라미라미","5.0","0","0","열번을 봐도 열번감동받는 영화."
"awsomeness","4.0","0","0","빤하지만 뻔하지 않았고 마음이 아팠지만 결국은 행복했다"
"신예은","4.0","0","0","머리 좀 깎아주라."
"Ashley Kim","4.0","0","0","노아와 앨리의 마지막 순간이 그 어느 때보다 행복했길"
"새뵤리리리","4.5","0","0","멜로영화 원톱"
